State,City,Link
Alabama,auburn,"http://auburn.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alabama,birmingham,"http://bham.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alabama,dothan,"http://bham.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alabama,florence  muscle shoals,"http://shoals.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1=
"
Alabama,gadsden-anniston,"http://shoals.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alabama,huntsville-decatur,"http://huntsville.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alabama,mobile,"http://mobile.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alabama,montgomery,"http://montgomery.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alabama,tuscaloosa,"http://tuscaloosa.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alaska,anchorage  mat-su,"http://anchorage.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alaska,fairbanks,"http://fairbanks.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alaska,kenai peninsula,"http://kenai.craigslist.org/search/cas?query=m4w%3D&sort=date&postedToday=1
"
Alaska,southeast alaska,"http://juneau.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Arizona,flagstaff  sedona,"http://flagstaff.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Arizona,mohave county,"http://flagstaff.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Arizona,phoenix,"http://phoenix.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Arizona,show low,"http://showlow.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Arizona,sierra vista,"http://sierravista.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Arizona,tucson,"http://tucson.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Arizona,yuma,"http://yuma.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Arkansas,fayetteville,"http://fayar.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Arkansas,fort smith,"http://fortsmith.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Arkansas,jonesboro,"http://jonesboro.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Arkansas,little rock,"http://littlerock.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Arkansas,texarkana,"http://texarkana.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,bakersfield,"http://bakersfield.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,chico,"http://chico.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,fresno  madera,"http://fresno.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,gold country,"http://goldcountry.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,hanford-corcoran,"http://hanford.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,humboldt county,"http://humboldt.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,imperial county,"http://imperial.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,inland empire,"http://inlandempire.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,los angeles,"http://losangeles.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,mendocino county,"http://mendocino.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,merced,"http://merced.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,modesto,"http://modesto.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,monterey bay,"http://monterey.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,orange county,"http://orangecounty.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,palm springs,"http://palmsprings.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,redding,"http://redding.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,sacramento,"http://sacramento.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,san diego,"http://sandiego.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,san francisco bay area,"http://sfbay.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,san luis obispo,"http://slo.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,santa barbara,"http://santabarbara.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,santa maria,"http://santamaria.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,stockton,"http://stockton.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,ventura county,"http://ventura.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,visalia-tulare,"http://visalia.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
California,yuba-sutter,"http://yubasutter.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Colorado,boulder,"http://boulder.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Colorado,colorado springs,"http://cosprings.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Colorado,denver,"http://denver.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Colorado,eastern CO,"http://eastco.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Colorado,fort collins  north CO,"http://fortcollins.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Colorado,high rockies,"http://rockies.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Colorado,pueblo,"http://pueblo.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Colorado,western slope,"http://westslope.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Connecticut,eastern CT,"http://newlondon.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Connecticut,hartford,"http://hartford.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Connecticut,new haven,"http://newhaven.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Connecticut,northwest CT,"http://nwct.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Delaware,Delaware,"http://delaware.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
District of Columbia,washington,"http://washingtondc.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,broward county,"http://miami.craigslist.org/search/brw/cas?query=m4w&sort=date&postedToday=1
"
Florida,daytona beach,"http://miami.craigslist.org/search/brw/cas?query=m4w&sort=date&postedToday=1
"
Florida,florida keys,"http://keys.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,fort lauderdale,"http://miami.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,ft myers  SW florida,"http://fortmyers.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,gainesville,"http://gainesville.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,heartland florida,"http://cfl.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,jacksonville,"http://jacksonville.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,lakeland,"http://lakeland.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,miami  dade,"http://miami.craigslist.org/search/mdc/cas?query=m4w&sort=date&postedToday=1
"
Florida,north central FL,"http://lakecity.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,ocala,"http://ocala.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,okaloosa  walton,"http://okaloosa.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,orlando,"http://orlando.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,palm beach county,"http://miami.craigslist.org/search/pbc/cas?query=m4w&sort=date&postedToday=1
"
Florida,panama city,"http://panamacity.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,pensacola,"http://pensacola.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,sarasota-bradenton,"http://sarasota.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,south florida,"http://sarasota.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,space coast,"http://spacecoast.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,st augustine,"http://staugustine.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,tallahassee,"http://tallahassee.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,tampa bay area,"http://tampa.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Florida,treasure coast,"http://treasure.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Georgia,albany,"http://albanyga.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Georgia,athens,"http://athensga.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Georgia,atlanta,"http://atlanta.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Georgia,augusta,"http://augusta.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Georgia,brunswick,"http://brunswick.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Georgia,columbus,"http://columbusga.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Georgia,macon  warner robins,"http://macon.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Georgia,northwest GA,"http://nwga.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Georgia,savannah  hinesville,"http://savannah.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Georgia,statesboro,"http://statesboro.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Georgia,valdosta,"http://valdosta.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
hawaii,Hawaii,"http://honolulu.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Idaho,boise,"http://boise.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Idaho,east idaho,"http://eastidaho.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Idaho,lewiston  clarkston,"http://lewiston.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Idaho,twin falls,"http://twinfalls.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Illinois,bloomington-normal,"http://bn.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Illinois,champaign urbana,"http://chambana.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Illinois,chicago,"http://chicago.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Illinois,decatur,"http://decatur.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Illinois,la salle co,"http://lasalle.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Illinois,mattoon-charleston,"http://mattoon.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Illinois,peoria,"http://peoria.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Illinois,rockford,"http://rockford.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Illinois,southern illinois,"http://carbondale.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Illinois,springfield,"http://springfieldil.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Illinois,western IL,"http://quincy.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Indiana,bloomington,"http://bloomington.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Indiana,evansville,"http://evansville.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Indiana,fort wayne,"http://fortwayne.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Indiana,indianapolis,"http://indianapolis.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Indiana,kokomo,"http://kokomo.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Indiana,lafayette  west lafayette,"http://tippecanoe.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Indiana,muncie  anderson,"http://muncie.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Indiana,richmond,"http://richmondin.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Indiana,southbend,"http://southbend.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Indiana,terre haute,"http://terrehaute.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Iowa,ames,"http://ames.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Iowa,cedar rapids,"http://cedarrapids.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Iowa,des moines,"http://desmoines.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Iowa,dubuque,"http://dubuque.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Iowa,fort dodge,"http://fortdodge.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Iowa,iowa city,"http://iowacity.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Iowa,mason city,"http://masoncity.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Iowa,quad cities,"http://quadcities.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Iowa,sioux city,"http://siouxcity.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Iowa,southeast IA,"http://ottumwa.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Iowa,waterloo  cedar falls,"http://waterloo.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Kansas,lawrence,"http://lawrence.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Kansas,manhattan,"http://ksu.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Kansas,northwest KS,"http://nwks.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Kansas,salina,"http://salina.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Kansas,southeast KS,"http://seks.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Kansas,southwest KS,"http://swks.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Kansas,topeka,"http://topeka.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Kansas,wichita,"http://wichita.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Kentucky,bowling green,"http://bgky.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Kentucky,eastern kentucky,"http://eastky.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Kentucky,lexington,"http://lexington.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Kentucky,louisville,"http://louisville.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Kentucky,owensboro,"http://owensboro.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Kentucky,western KY,"http://westky.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Louisiana,baton rouge,"http://batonrouge.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Louisiana,central louisiana,"http://cenla.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Louisiana,houma,"http://houma.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Louisiana,lafayette,"http://lafayette.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Louisiana,lakecharles,"http://lakecharles.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Louisiana,monroe,"http://monroe.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Louisiana,new orleans,"http://neworleans.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Louisiana,shreveport,"http://shreveport.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Maine,Maine,"http://maine.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Maryland,annapolis,"http://annapolis.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Maryland,baltimore,"http://baltimore.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Maryland,eastern shore,"http://easternshore.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Maryland,frederick,"http://easternshore.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Maryland,southern maryland,"http://smd.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Maryland,western maryland,"http://westmd.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Massachusetts,boston,"http://boston.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Massachusetts,cape cod  islands,"http://capecod.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Massachusetts,south coast,"http://southcoast.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Massachusetts,western massachusetts,"http://westernmass.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Massachusetts,worcester  central MA,"http://worcester.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Michigan,ann arbor,"http://annarbor.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Michigan,battlecreek,"http://battlecreek.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Michigan,central michigan,"http://centralmich.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Michigan,detroit metro,"http://detroit.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Michigan,flint,"http://flint.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Michigan,grand rapids,"http://grandrapids.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Michigan,holland,"http://holland.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Michigan,jackson,"http://jxn.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Michigan,kalamazoo,"http://kalamazoo.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Michigan,lansing,"http://lansing.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Michigan,monroe,"http://monroemi.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Michigan,muskegon,"http://muskegon.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Michigan,northern michigan,"http://nmi.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Michigan,porthuron,"http://porthuron.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Michigan,saginaw,"http://saginaw.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Michigan,southwest michigan,"http://swmi.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Michigan,the thumb,"http://thumb.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Michigan,upper peninsula,"http://up.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Minnesota,bemidji,"http://bemidji.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Minnesota,brainerd,"http://brainerd.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Minnesota,duluth  superior,"http://duluth.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Minnesota,mankato,"http://mankato.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Minnesota,minneapolis  st paul,"http://minneapolis.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Minnesota,rochester,"http://rmn.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Minnesota,southwest MN,"http://marshall.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Minnesota,st cloud,"http://stcloud.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Mississippi,gulfport  biloxi,"http://gulfport.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Mississippi,hattiesburg,"http://hattiesburg.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Mississippi,jackson,"http://jackson.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Mississippi,meridian,"http://meridian.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Mississippi,north mississippi,"http://northmiss.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Mississippi,southwest MS,"http://natchez.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Missouri,columbia  jeff city,"http://columbiamo.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Missouri,joplin,"http://joplin.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Missouri,kansas city,"http://kansascity.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Missouri,kirksville,"http://kirksville.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
